cluster,lineage
0,endothelium
1,mesenchyme
2,endothelium
3,mesenchyme
4,mesenchyme
5,epithelium
6,endothelium
7,endothelium
8,endothelium
9,immune
10,endothelium
11,mesenchyme
12,mesenchyme
13,immune
14,mesenchyme
15,immune
16,endothelium
17,immune
18,immune
19,epithelium
20,epithelium
21,endothelium
22,epithelium
23,endothelium
24,endothelium
25,other
26,endothelium
27,immune
28,mesenchyme
29,epithelium
30,epithelium
31,immune
32,mesenchyme
33,immune
34,mesenchyme
35,endothelium
36,immune
37,immune
38,other
39,epithelium
40,other
41,other
42,immune
43,immune
44,other
45,immune
46,other