cluster,lineage,celltype
0,Myeloid,aMAC
1,Lymphoid,B_lymphocyte
2,Myeloid,Neutrophil
3,Lymphoid,T_lymphocyte
4,Myeloid,iMON
5,Lymphoid,T_lymphocyte
6,Myeloid,cMON
7,Lymphoid,T_lymphocyte
8,Myeloid,iMAC
9,Myeloid,pMON
10,Lymphoid,Plasma_cell
11,Lymphoid,NK_cell
12,Myeloid,cDC1
13,Myeloid,cDC2
14,Other,Low_count_high_mito
15,Other,Low_count_high_mito
16,Other,Low_count_high_mito
17,Myeloid,aMAC
18,Myeloid,Mast_basophil
19,Lymphoid,T_lymphocyte
20,Myeloid,maDC
21,Myeloid,Neutrophil
22,Other,Low_count_high_mito
23,Lymphoid,B_lymphocyte
24,Other,Doublet_high