cluster,lineage,celltype,subtype
0,Epithelium,AT2,AT2_a
1,Epithelium,Krt5,Krt5
2,Epithelium,AT2,AT2_b
3,Epithelium,AT2,AT2_c
4,Epithelium,Ciliated,Ciliated_a
5,Other,doublets_high,doublets_high
6,Epithelium,AT2,AT2_d
7,Epithelium,Ciliated,Ciliated_b
8,Epithelium,AT1,AT1_a
9,Epithelium,AT1,AT1_c
10,Epithelium,AT1,AT1_b
11,Epithelium,Secretory,Secretory_a
12,Epithelium,Secretory,Secretory_b
13,Epithelium,AT1_AT2,AT1_AT2
14,Epithelium,Alveolar_transitional,Alveolar_transitional
15,Epithelium,Ciliated,Ciliated_c
16,Epithelium,Secretory,Secretory_c
17,Other,doublets_high,doublets_high
18,Other,doublets_high,doublets_high
19,Other,doublets_high,doublets_high