library,orig.ident,exp_group,tam_day,sac_day,sex_f
scRNA-113,scRNA-113_H1N1_02to06dpi,H1N1_tam02_sac06,2,6,1
scRNA-116,scRNA-116_H1N1_07to11dpi,H1N1_tam07_sac11,7,11,0
scRNA-117,scRNA-117_H1N1_14to19dpi,H1N1_tam14_sac19,14,19,0
scRNA-118,scRNA-118_H1N1_21to25dpi,H1N1_tam21_sac25,21,25,0
scRNA-124,scRNA-124_H1N1_02to42dpi,H1N1_tam02_sac42,2,42,1
scRNA-125,scRNA-125_H1N1_07to42dpi,H1N1_tam07_sac42,7,42,0
scRNA-126,scRNA-126_H1N1_14to42dpi,H1N1_tam14_sac42,14,42,0
scRNA-127,scRNA-127_H1N1_21to42dpi,H1N1_tam21_sac42,21,42,0
scRNA-158,scRNA-158_homeostasis_D42,H1N1_homeostasis_d42,-42,0,1
scRNA-162,scRNA-162_H1N1_02to6dpi,H1N1_tam02_sac06,2,6,0
scRNA-166,scRNA-166_homeostasis_D3,H1N1_homeostasis_d03,-3,0,1
scRNA-167,scRNA-167_H1N1_07to11dpi,H1N1_tam07_sac11,7,11,0
scRNA-170,scRNA-170_H1N1_15to19dpi,H1N1_tam14_sac19,14,19,1
scRNA-172,scRNA-172_H1N1_21to25dpi,H1N1_tam21_sac25,21,25,1
scRNA-179,scRNA-179_H1N1_02to42dpi,H1N1_tam02_sac42,2,42,0
scRNA-180,scRNA-180_H1N1_07to42dpi,H1N1_tam07_sac42,7,42,1
scRNA-181,scRNA-181_H1N1_15to42dpi,H1N1_tam14_sac42,14,42,1
scRNA-182,scRNA-182_H1N1_21to42dpi,H1N1_tam21_sac42,21,42,0
scRNA_236,scRNA-236_H1N1_02to90dpi,H1N1_tam02_sac90,2,90,0
scRNA_237,scRNA-237_H1N1_07to90dpi,H1N1_tam07_sac90,7,90,0
scRNA_238,scRNA-238_H1N1_014to90dpi,H1N1_tam14_sac90,14,90,0
scRNA_239,scRNA-239_H1N1_21_90dpi,H1N1_tam21_sac90,21,90,0
scRNA_310,EEM-scRNA-310,H1N1_tam14_sac366,14,366,0
scRNA_311,EEM-scRNA-311,H1N1_tam14_sac366,14,366,1
scRNA_312,EEM-scRNA-312,H1N1_tam7_sac366,7,366,1