lineage,lineage_color,celltype,celltype_color
Endothelium,#AF2733,Arterial_endothelium,#381B60
Endothelium,#AF2733,Venous_endothelium,#AB3329
Endothelium,#AF2733,Lymphatic_endothelium,#E78429
Endothelium,#AF2733,Cap1,#EC958B
Endothelium,#AF2733,Cap2,#869FDC
Epithelium,#FFF056,Ciliated,#DE4F32
Epithelium,#FFF056,Secretory,#601F5F
Epithelium,#FFF056,AT2,#EE8537
Epithelium,#FFF056,AT1_AT2,#B9282C
Epithelium,#FFF056,AT1,#FFD252
Epithelium,#FFF056,Alveolar_transitional,#341547
Epithelium,#FFF056,Krt5,#9F2C54
Mesenchyme,#2952AC,Peribronchial_fibroblast,#6E9968
Mesenchyme,#2952AC,VSMC,#808FE0
Mesenchyme,#2952AC,Adventitial_fibroblast,#97C583
Mesenchyme,#2952AC,AF1,#EEC76C
Mesenchyme,#2952AC,AF2,#5C66A8
Mesenchyme,#2952AC,Mesothelium,#454974
Myeloid,#FDC151,aMAC,#E76154
Myeloid,#FDC151,iMAC,#ED8946
Myeloid,#FDC151,iMON,#FFD06E
Myeloid,#FDC151,cMON,#75884b
Myeloid,#FDC151,pMON,#B75347
Myeloid,#FDC151,cDC1,#AADCDF
Myeloid,#FDC151,cDC2,#1E466D
Myeloid,#FDC151,maDC,#FFE6B6
Myeloid,#FDC151,Neutrophil,#71BBD4
Lymphoid,#599649,B_lymphocyte,#75C7C3
Lymphoid,#599649,Plasma_cell,#5B96C1
Lymphoid,#599649,T_lymphocyte,#95C36D
Lymphoid,#599649,NK_cell,#295284